Year,Species.Code,FMP,sumRPN
2016,222,BSAI,0
2016,222,GOA,0
2016,232,BSAI,0
2016,232,GOA,0
2016,310,BSAI,0
2016,310,GOA,27591.82163
2016,320,BSAI,0
2016,320,GOA,0
2016,351,BSAI,0
2016,351,GOA,0
2017,150,BSAI,0
2017,150,GOA,0
2017,160,BSAI,0
2017,160,GOA,0
2017,222,BSAI,0
2017,222,GOA,0
2017,232,BSAI,0
2017,232,GOA,0
2017,310,BSAI,0
2017,310,GOA,45079.89408
2017,320,BSAI,0
2017,320,GOA,228.7165285
2017,351,BSAI,0
2017,351,GOA,4.180929487
2018,150,BSAI,0
2018,150,GOA,0
2018,160,BSAI,0
2018,160,GOA,0
2018,222,BSAI,0
2018,222,GOA,0
2018,232,BSAI,0
2018,232,GOA,0
2018,310,BSAI,5.75
2018,310,GOA,20095.99721
2018,320,BSAI,0
2018,320,GOA,52.31344448
2018,351,BSAI,0
2018,351,GOA,9.589781746
2019,150,BSAI,0
2019,150,GOA,0
2019,160,BSAI,0
2019,160,GOA,0
2019,222,BSAI,0
2019,222,GOA,0
2019,232,BSAI,0
2019,232,GOA,0
2019,310,BSAI,0
2019,310,GOA,43781.96039
2019,320,BSAI,105.3051278
2019,320,GOA,219.9596204
2019,351,BSAI,0
2019,351,GOA,0
2020,150,BSAI,0
2020,150,GOA,0
2020,160,BSAI,0
2020,160,GOA,0
2020,222,BSAI,0
2020,222,GOA,0
2020,232,BSAI,0
2020,232,GOA,0
2020,310,BSAI,0
2020,310,GOA,24749.39691
2020,320,BSAI,0
2020,320,GOA,3.067073171
2020,351,BSAI,0
2020,351,GOA,158.1629978
2021,320,BSAI,0
2021,320,GOA,24
